,Unnamed: 0,Document,Topic,Name,Top_n_words,Probability,Representative_document,original_text
30828,30828,friend afternoon spread flag,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.8767500019940495,False,@LuckyHeronSay My friend is putting on an afternoon tea. I won't say no; she knows how to lay on a spread. She's promised no flag shagging so all is good.
53294,53294,justice woke weaponisation compassion virtue level,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.867420535948057,False,"@RalfLittle Also see: Social Justice Warrior, Woke, etc The weaponisation of compassion as a sin not a virtue is telling on every level"
16762,16762,please love,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,True,@oldandrewuk @steve_mcnichol @Lund2C Please do - id love to see it
69600,69600,farage show,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9134137892080796,False,"@HelenSalmon2 @bbcquestiontime Was Farage on I wonder, it used to be his show."
23988,23988,life today,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.1242664160019931,False,Get out and taste life today https://t.co/nbwsiCgvDr
47289,47289,jackson browne,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9074472044601872,False,@inqdragon2 I'm Alive Jackson Browne. https://t.co/gb6JsqQ7vY
83957,83957,people nothing shred remorse,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9569444494364824,False,@BravoTV should fire #erikajayne This reflects so badly. Those poor people who suffered and got *nothing* and there's not one shred of remorse.
100033,100033,thank love family,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.5844053576970729,False,"@OvendenLaura Thank you. I have stuff I’d love to look in to. My family will probably disown me, though."
124849,124849,jackbox stream please thank,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.990293635319552,False,@JerkyWorms Jackbox of gartic stream please and thank you
17497,17497,please farage,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.8916150011364551,False,@fbpe_jojo77 Don’t hold back Jo; please tell us what you really think about Farage...
56514,56514,appeal plant,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9712339029835868,False,More ‘curb appeal’ plants! https://t.co/4mlhqgrka0
24818,24818,storm confirmation,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,False,“Switching to remote learning” for tomorrow’s storm really is the confirmation that snow days are over for good. https://t.co/Y7Crd0PUxM
12169,12169,jason donovan group court,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9828222639692136,False,@TabitaSurge @MrCrystalMighty I remember Jason Donovan taking a group to court over ‘outing’ him
77725,77725,thank love,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9779278788180168,False,@KaySocLearn Thank you for sharing this with us all Kay. Much love
101682,101682,profound cartoon bless,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.3620225813287714,False,Profound cartoon 🇺🇦 God bless Ukraine https://t.co/kMV7QUGr8n
101192,101192,thanks think,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,False,@Missy_E36 Thanks Selina! I’ll have a think about what I could do🥰 you should definitely give it a go!
76032,76032,awareness family predicament,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.544413211227452,False,"Closed awareness. How are you and your family going to work your way out of this, I am guessing, uncomfortable and exhausting predicament. https://t.co/YijvJvaFrS"
13550,13550,fair,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,True,@KSegedin Fair 😂
97773,97773,compassion face terror loving presence bold diversity hand life today tonight amen,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.559645195846532,False,"God of unfailing compassion, make us strong in the face of terror, loving in the presence of hatred, bold in our diversity, always knowing that your hand holds us and your life sustains us, today, tonight and always. Amen. #LondonBridge https://t.co/WT3CMWWRXc"
102977,102977,farage plant,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9925129725937264,False,@TheIndyFilm Farage is a plant
18690,18690,love compassion family,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,True,@BillyVacant @tydd39175761 Love and compassion to his family
40320,40320,sent stand chair,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.2784723010870903,False,@mrsnickia10 Showing as sent my end... Stand on a chair? 😂
56124,56124,anyone classroom table chair space member class setup work space,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.1591324160388842,False,Has anyone ever set up a KS2 classroom without enough table and chair spaces for all members of the class? A little like an EYFS setup with some alternative work spaces.
115820,115820,flag something sometimes,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,False,@ShuaibKhan26 But sometimes the flag has become to mean something else - sometimes it scares me 😟
117388,117388,chair school plastic,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.2206559552237952,False,@Shahana_tpc the old wooden chairs I had at school were vastly better than the sweaty plastic ones we have now.
113236,113236,think someone,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9781391740637786,False,@mrjamesob I genuinely do not understand why intelligent think it’s amusing to be snidey about @LibDems. Especially someone like you. https://t.co/bGhn0RRg98
95269,95269,glad family mate please,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.7774334787736269,False,@andycomfort Glad to see the family are safe mate. Pass my best on please
49499,49499,love life today,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.1487847335130822,False,I hope the love of my life had a great day today
103863,103863,writing time humour strength love,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,False,@Concordmoose @WestonParkCC @SheffieldHosp @MajorKirsten1 This writing is so strongly infused with you Susie. What a time you’re having. Your humour and strength are shining through. Sending our love. X
70373,70373,december storm amber alert,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.6190803504374187,False,December 2013 is the storm we won’t forget! Not even an amber alert then 😱#StormEunice https://t.co/HrT3pW50zT
107112,107112,time family,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.5003158514773369,False,@virkjay @Constant55 @NicolaWood64 Lots to feel proud about and looking forward to time with the family https://t.co/XvlVAJ7lQP
10451,10451,nothing thinking,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.88250751071685,False,@kadontmuller I’m so desperately sorry. I know there is nothing I can say to help so I’m sending a 🦡 hug thinking of you both
58492,58492,proposal school appeal board,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.9918432165853897,False,@TeessideTeacher @mikercameron In the proposal there was a free in school appeal... and then the exam board. Who would just come back to school...in Aug? I hope they listened to ASCL
6314,6314,account pestilence cycle lockdown theatre home family timelessness,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.3216322856863683,False,It's account of 'the pestilence' the cycle of lockdowns which closed Shakespeare's theatre and brought him home to his grieving family add to the timelessness.
104771,104771,reward teaching difference life knowledge compassion educator,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.7928944795292411,False,"@offgridteacher The rewards for teaching is M.A.D. Making A Difference. You may not see it now,but trust that many lives are being transformed because of your knowledge and compassion. You rock Gretchen, you are amazing! and to all the educators out there you are truly amazing @offgridteacher https://t.co/9KorhExbQx"
26636,26636,life family,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,False,@JackHassard @hanna_hurley @thenation And lives of many families.
78204,78204,love topicenjoy,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.1345470494133223,False,@Quinncidental @EHU_FOE @Glazgow Fab!! Love that topic-enjoy!
34505,34505,shot herts,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,True,"@pearlwheeler1 @PromotingwomenS Long shot, but she's not in Herts and seeking a job, is she? 😀"
11031,11031,responsibility others people compassion,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,1.0,False,"@rondelle10_b @SLTchat @621carly Make it work by Being enthusiastic and taking responsibility for what we do Doing what we say we will do and being honest with ourselves and others Treating people as we would like to be treated, and always with compassion 1 of 2"
18387,18387,love compassion family,9,9_family_love_compassion_chair,family - love - compassion - chair - thought - flag - bless - strength - thinking - appeal,0.8921244073276199,True,@AndyBoucher71 Sending love and compassion to you and your family Liz ♥️
