,Topic,Count,Name,details
0,-1,100495,-1_school_time_year_people,"['school', 'time', 'year', 'people', 'child', 'teacher', 'thing', 'week', 'today', 'book']"
1,0,2118,0_tweet_twitter_account_people,"['tweet', 'twitter', 'account', 'people', 'reply', 'follower', 'response', 'timeline', 'parody', 'someone']"
2,1,1539,1_easter_weekend_summer_week,"['easter', 'weekend', 'summer', 'week', 'mine', 'wait', 'holiday', 'break', 'term', 'fridge']"
3,2,1456,2_birthday_hope_family_care,"['birthday', 'hope', 'family', 'care', 'festival', 'bless', 'dream', 'cancer', 'star', 'wish']"
4,3,1284,3_bird_enjoy_today_theme,"['bird', 'enjoy', 'today', 'theme', 'butterfly', 'insect', 'shot', 'flower', 'dragon', 'beetle']"
5,4,1193,4_energy_water_bill_inflation,"['energy', 'water', 'bill', 'inflation', 'price', 'river', 'housing', 'company', 'sewage', 'petrol']"
6,5,1115,5_holiday_bank_coat_food,"['holiday', 'bank', 'coat', 'food', 'people', 'thing', 'hashtag', 'week', 'trauma', 'curry']"
7,6,1087,6_congratulation_news_order_colleague,"['congratulation', 'news', 'order', 'colleague', 'privilege', 'mark', 'adam', 'congrats', 'quality', 'adventure']"
8,7,1075,7_prince_duke_duchess_photograph,"['prince', 'duke', 'duchess', 'photograph', 'celebration', 'message', 'queen', 'princess', 'jeffrey', 'virginia']"
9,8,1059,8_blog_word_goodness_thank,"['blog', 'word', 'goodness', 'thank', 'work', 'thanks', 'board', 'credit', 'year', 'feedback']"
10,9,1015,9_tory_election_vote_party,"['tory', 'election', 'vote', 'party', 'seat', 'voter', 'candidate', 'poll', 'people', 'voting']"
11,10,933,10_mask_virus_face_pandemic,"['mask', 'virus', 'face', 'pandemic', 'school', 'lego', 'infection', 'reminder', 'supermarket', 'people']"
12,11,900,11_kind_thank_exclusion_pain,"['kind', 'thank', 'exclusion', 'pain', 'thanks', 'pleasure', 'inclusion', 'answer', 'corner', 'light']"
13,12,895,12_today_tomorrow_gift_yesterday,"['today', 'tomorrow', 'gift', 'yesterday', 'pride', 'tiger', 'pint', 'vibe', 'show', 'year']"
14,13,892,13_pension_donation_charity_chip,"['pension', 'donation', 'charity', 'chip', 'donor', 'cell', 'tory', 'stem', 'decade', 'money']"
15,14,852,14_academy_trust_school_solidarity,"['academy', 'trust', 'school', 'solidarity', 'academisation', 'privatization', 'community', 'council', 'privatisation', 'education']"
