,id,created_at,edit_history_tweet_ids,text,withheld
0,1.563129775614759e+18,2022-08-26 11:42:34+00:00,['1563129775614758913'],RT @AliciaH88388941: @SteveBarclay https://t.co/1cBcFi3O4O,
1,1.5631291842724209e+18,2022-08-26 11:40:13+00:00,['1563129184272420867'],"RT @CWUnews: 115,000 postal workers strike tomorrow. Please comment, retweet and like if you have their backs

#StandByYourPost",
2,1.562870030814982e+18,2022-08-25 18:30:26+00:00,['1562870030814982145'],"RT @MirrorPolitics: Health Secretary Steve Barclay has been confronted about scandalous ambulance waiting times by an angry voter
https://t…",
3,1.5624292276384604e+18,2022-08-24 13:18:51+00:00,['1562429227638460416'],RT @josie1964: https://t.co/iC2zfNR4gf,
4,1.561658862217855e+18,2022-08-22 10:17:41+00:00,['1561658862217854978'],"RT @AngelaBennatt: #TorySewageParty
#TorySewageParty
#TorySewageParty
#TorySewageParty
💩💩💩💩💩💩💩💩💩",
5,1.5616583490658386e+18,2022-08-22 10:15:39+00:00,['1561658349065838592'],"RT @unojen_wood: New tag line for Tories backing Truss:
'I'm backing Truss because I'm as thick as she is'.",
6,1.561655863613526e+18,2022-08-22 10:05:46+00:00,['1561655863613526016'],"A must watch video 

Honest Government Ad | UK https://t.co/9g3CK0FOgi via @YouTube",
7,1.5608927540912497e+18,2022-08-20 07:33:27+00:00,['1560892754091249664'],RT @larrylamb47: What a disgrace https://t.co/B7NT9FlDS8,
8,1.5608923024401367e+18,2022-08-20 07:31:39+00:00,['1560892302440136704'],"@redsarah99 Sounds like #FckedInTgeHeadDizzyLizzy and #DirtyRussianMoneySunak makes #BoozyJohnson look like a guardian angel. 

Biggest threat to this country is them None voters and #Redwall If they voted for Jeremy in 2019 we wouldn’t have billions hidden in Panama under fcking Sunak",
9,1.56089072172023e+18,2022-08-20 07:25:22+00:00,['1560890721720229888'],"RT @AdamBienkov: YouGov gives Labour a 15-point lead.

LAB: 43%
CON: 28% 
LD: 11% 
GRN: 7%
SNP: 5%
REF: 4%

If repeated at a general electi…",
