,id,created_at,edit_history_tweet_ids,text
0,1.5650788245508915e+18,2022-08-31 20:47:24+00:00,['1565078824550891523'],"RT @TheAthleticUK: Erling Haaland has scored nine goals in his first five Premier League appearances, a new competition record. 

[@OptaJoe…"
1,1.5650291864478433e+18,2022-08-31 17:30:09+00:00,['1565029186447843329'],What this space #NursesActive by special request @karhod21 @Lailanie33 @sue_burgis https://t.co/a0jiikZHZj
2,1.5650289687508787e+18,2022-08-31 17:29:17+00:00,['1565028968750878722'],RT @jsimpson1972: @susiecath @ImperialNHS @LisaGre99657468 @mariehallmh @Heidi11369060 @Luckymoud @SigsworthJanice Welcome to the team Shan…
3,1.5650288895917466e+18,2022-08-31 17:28:58+00:00,['1565028889591746563'],RT @Lailanie33: @karhod21 @SigsworthJanice You and your team is our inspiration!! 💃🕺👯‍♀️👯
4,1.5650287539396155e+18,2022-08-31 17:28:26+00:00,['1565028753939615745'],"RT @susiecath: @ImperialNHS is thrilled to welcome our IR midwives, Shanice &amp; Shabana, who joined #Imperialmaternity today. #nurtured by Gr…"
5,1.5650287429294572e+18,2022-08-31 17:28:23+00:00,['1565028742929457152'],A big warm welcome to you both @susiecath @LisaGre99657468 @Luckymoud @Heidi11369060 @jsimpson1972 from all @NursesMidwives @ImperialNHS https://t.co/zWLmUn2qRO
6,1.5650282442687447e+18,2022-08-31 17:26:24+00:00,['1565028244268744704'],But a dinosaur appeared #NursesActive @WeNurses https://t.co/t5ecdCdwJ7
7,1.5650281004292014e+18,2022-08-31 17:25:50+00:00,['1565028100429201411'],Last day of an amazing #NursesActive @WeNurses the sun departing my shore line https://t.co/RjwrIvgVO3
8,1.565024455549649e+18,2022-08-31 17:11:21+00:00,['1565024455549648897'],"RT @mel_tumongha: I think we need to familiarise ourselves where our head, shoulders, knees and toes are 🤣😂🤣😂 I love 8 South and my colleag…"
9,1.564692983231955e+18,2022-08-30 19:14:12+00:00,['1564692983231954944'],RT @BrendaDeocampo: Very productive day for Team4.Strengthening existing relationship and cohesiveness and improving communication&amp;good cam…
10,1.5646929127215022e+18,2022-08-30 19:13:55+00:00,['1564692912721502208'],Some competition for #teamhaem @karhod21 @Lailanie33 https://t.co/wKEi95HTbJ
11,1.5646294303198495e+18,2022-08-30 15:01:40+00:00,['1564629430319849473'],"RT @GlennHarrold: ★★★★★ ""Insomniac all my life. Fall asleep in a minute now. God bless you for creating this."" https://t.co/xK88BNgGIq"
12,1.5646293044866417e+18,2022-08-30 15:01:10+00:00,['1564629304486641668'],"RT @Marie_Batey: Our last full #ImperialActive week  has meant:
🌿 Fun
🌿 Self care
🌿 Teamwork
🌿 Creativity
🌿 Delicious food
🌿 Furry friends…"
13,1.564628982456263e+18,2022-08-30 14:59:53+00:00,['1564628982456262661'],Final few sea side walking posts for #nursesactive https://t.co/X5COqEMQDs
14,1.5643588173952123e+18,2022-08-29 21:06:21+00:00,['1564358817395212289'],Got my badge today #nursesactive  https://t.co/RKAMh51hhu
15,1.5643578983141253e+18,2022-08-29 21:02:41+00:00,['1564357898314125313'],RT @SavineLouise: Sometimes you just need a hug @MelHucker #family #NursesActive #ImperialActive @MarcelleTauber @Marie_Batey @GoSkydiveUK…
16,1.5643306668330844e+18,2022-08-29 19:14:29+00:00,['1564330666833084416'],RT @SavineLouise: What an amazing experience @GoSkydiveUK #gary #joe #thankyou #NursesActive #ImperialActive @MarcelleTauber @Marie_Batey @…
17,1.5642759049431122e+18,2022-08-29 15:36:53+00:00,['1564275904943112193'],RT @SigsworthJanice: A pit stop for my favoured bacon sarnie #nursesactive https://t.co/wiflsOvL0m
18,1.5642134154381722e+18,2022-08-29 11:28:34+00:00,['1564213415438172161'],Happened across some modern art #nursesactive sleeping pebbles https://t.co/GRNmeHYk0Y
19,1.5642130924935332e+18,2022-08-29 11:27:17+00:00,['1564213092493533185'],We found a lovely lake along the way #nursesactive https://t.co/RhMBKhkyCG
20,1.56421275402999e+18,2022-08-29 11:25:56+00:00,['1564212754029989888'],A pit stop for my favoured bacon sarnie #nursesactive https://t.co/wiflsOvL0m
21,1.564212588732359e+18,2022-08-29 11:25:17+00:00,['1564212588732358656'],A windy morning of steps for me #nursesactive https://t.co/zmWXIOjIdK
22,1.5641721608975524e+18,2022-08-29 08:44:38+00:00,['1564172160897552385'],Seaside steps beckon this morning #NursesActive https://t.co/bpL21ooiFq
23,1.5641716729864684e+18,2022-08-29 08:42:42+00:00,['1564171672986468359'],MiniB will love it mine did #NursesActive an old airfield in Yorkshire https://t.co/FEjLYNXGT8 https://t.co/qzcqztQOJL
24,1.5639322964656005e+18,2022-08-28 16:51:30+00:00,['1563932296465600514'],Defo know I am middle aged to be delighted to get one of these #NursesActive to help in the kitchen https://t.co/2gkyjCKCao
25,1.5639131100370248e+18,2022-08-28 15:35:16+00:00,['1563913110037024769'],11k steps today by the seaside - a bit of a relax then off again #NursesActive https://t.co/R7rTamerYO
26,1.5638220363965276e+18,2022-08-28 09:33:22+00:00,['1563822036396527616'],"RT @karhod21: There goes @JoyAntonetteP with another leap of faith, so star so good 💫⭐️🤩 @Lizbeth06252002 @evelyngomez00 @adliteb @fatimana…"
27,1.5638215059931218e+18,2022-08-28 09:31:16+00:00,['1563821505993121792'],RT @karhod21: Taking in the sites…great to see a familiar face from time spent in the vaccination hub…Mohammed from the domestic team 🙌 #Nu…
28,1.5638214483507937e+18,2022-08-28 09:31:02+00:00,['1563821448350793728'],"RT @MarcelleTauber: @cxh_surgery and I getting our steps in before work!
#Soggy #Yellow
#NursesActive #ImperialActive 
@NursesMidwives @WeN…"
29,1.5638213997766656e+18,2022-08-28 09:30:50+00:00,['1563821399776665601'],RT @asante_dinah: @karhod21 we are so grateful for all the support from the HOPD team. It was a great pleasure to meet them @Imperialpeople…
30,1.5638208813522657e+18,2022-08-28 09:28:47+00:00,['1563820881352265733'],RT @karhod21: All set for the evening entertainment 😍#NursesActive #ImperialActive @ImperialCharity @ianlush13 #CarFest @Marie_Batey @Marce…
31,1.563820652158718e+18,2022-08-28 09:27:52+00:00,['1563820652158717952'],"RT @LondonProstate1: Well done to our fantastic Riverside theatre team.

Even more scrubnurses being formally signed off as independent in…"
32,1.5638203438437663e+18,2022-08-28 09:26:39+00:00,['1563820343843766272'],"RT @CharlotteJaye2: Final push, we have done all sorts of activities #NursesActive #ImperialActive @Imperialpeople https://t.co/Rq0hQg073P"
33,1.5638201045504328e+18,2022-08-28 09:25:41+00:00,['1563820104550432769'],RT @cleonvillapalos: Saturday cycling day #NursesActive ⁦@MarcelleTauber⁩ ⁦@claire_gorham⁩ ⁦@Minalj9⁩ ⁦@SigsworthJanice⁩ ⁦@AndyW_DCN⁩ ⁦@V_N…
34,1.5638199865728328e+18,2022-08-28 09:25:13+00:00,['1563819986572832768'],RT @karhod21: Crack shot 🙌 #MiniBradley Taking one for #NursesActive #ImperialActive team 😅💦 @JoyAntonetteP @jsimpson1972 @adliteb @Lizbeth…
35,1.5635436365117071e+18,2022-08-27 15:07:06+00:00,['1563543636511707137'],RT @DianaBelshaw: Pleased with my steps in 2 hours 14 minutes #ImperialActive #NursesActive @MarcelleTauber @Marie_Batey @SigsworthJanice @…
36,1.5635435935280947e+18,2022-08-27 15:06:56+00:00,['1563543593528094724'],They are multiplying #NursesActive @ImperialCharity https://t.co/PkkH4xgrhw
37,1.5635433549141934e+18,2022-08-27 15:05:59+00:00,['1563543354914193409'],Before the gardening the Tupperware draw needed sorting out #NursesActive still at it. https://t.co/WtlCog8Qp8
38,1.563543179387093e+18,2022-08-27 15:05:17+00:00,['1563543179387092995'],10 greens bottles standing on the wall #NursesActive an interesting addition to some gardening https://t.co/TC44Ev0YxX
39,1.5634746267597537e+18,2022-08-27 10:32:53+00:00,['1563474626759753729'],RT @HelenCJo67: Great opportunity for nurses and midwives @ImperialNHS to apply for this fantastic opportunity and develop nursing/midwifer…
40,1.563474594975318e+18,2022-08-27 10:32:46+00:00,['1563474594975318019'],More walking #NursesActive for the final weekend - lovely sunshine https://t.co/P82ZOD00rs
41,1.563230327761666e+18,2022-08-26 18:22:08+00:00,['1563230327761666051'],"RT @DonnaGoodfellow: Well Done to all on 9 West who have supported this change, what a great achievement in such a short space of time. Cha…"
42,1.5632302866365522e+18,2022-08-26 18:21:58+00:00,['1563230286636552192'],Very well done 9 west @didib77 @DonnaGoodfellow keep going strong 🎉🎉🎉 https://t.co/gr6Bhic4ne
43,1.5632300892312123e+18,2022-08-26 18:21:11+00:00,['1563230089231212548'],RT @imperialdigeduc: Well done to 9 West Neuro Rehabilitation Unit for being the most improved ward in PPID at CXH for July 2022! Keep up t…
