,Topic,Count,Name,details
0,-1,30324,-1_patient_work_wa_need,[]
1,0,2062,0_nan_yen_nandos_yucca,"[('nan', 0.4687190934337964), ('yen', 0.008697385230848825), ('nandos', 0.003426284723750878), ('yucca', 0.003426284723750878), ('floaty', 0.003426284723750878), ('tolerable', 0.002761270154031789), ('farewell', 0.002761270154031789), ('tidy', 0.0024935034610814853), ('kane', 0.002429719272151998), ('vaguely', 0.0023232548506806057)]"
2,1,875,1_music_film_song_movie,"[('music', 0.022741810317076585), ('film', 0.021239696028429348), ('song', 0.01841646498044297), ('movie', 0.014068006541273407), ('album', 0.011122594663272903), ('watched', 0.010878425915669291), ('watching', 0.010511588461219523), ('watch', 0.009701272896368891), ('tv', 0.009410680833030795), ('netflix', 0.009080114263143837)]"
3,2,852,2_vaccine_vaccination_vaccinated_covid,"[('vaccine', 0.051151578466747595), ('vaccination', 0.03108452384699609), ('vaccinated', 0.018436897463014863), ('covid', 0.010865188225897474), ('programme', 0.009385741073335648), ('booster', 0.009373980133696856), ('flu', 0.009003445618148575), ('dose', 0.006906488714341326), ('dos', 0.006407809613328358), ('delivering', 0.006378140428456513)]"
4,3,681,3_tweet_twitter_tweeting_tweeted,"[('tweet', 0.06522173039229508), ('twitter', 0.049795574018450445), ('tweeting', 0.015617745112038306), ('tweeted', 0.011130539648568354), ('deleted', 0.011045887177957405), ('retweet', 0.007163398994634724), ('reply', 0.006106700143513433), ('account', 0.006100195424453467), ('delete', 0.005643100410587796), ('retweeted', 0.0051252065703320275)]"
5,4,658,4_amp_colleague_ppl_power,"[('amp', 0.03304265942978613), ('colleague', 0.004271127514268227), ('ppl', 0.0034756804244959858), ('power', 0.0031358672363375265), ('work', 0.002743548023291753), ('important', 0.002622556441399811), ('dying', 0.002619888790967794), ('privilege', 0.0026088618456142393), ('try', 0.002515589152853521), ('share', 0.0024769632837156373)]"
6,5,574,5_covid_virus_infection_flu,"[('covid', 0.044416321837092355), ('virus', 0.011991585948575629), ('infection', 0.01068518857229942), ('flu', 0.007931587221815434), ('coronavirus', 0.006219356859231609), ('death', 0.005815690129992319), ('recovering', 0.0053443952940046835), ('postcovid', 0.005123706679597325), ('outbreak', 0.005021890313579608), ('case', 0.004872103377396113)]"
7,6,478,6_found_via_de_la,"[('found', 0.09789246499599959), ('via', 0.09225519656448106), ('de', 0.07515970578040958), ('la', 0.04755344041477671), ('el', 0.04725435588627578), ('en', 0.04186682126875864), ('con', 0.03478113136475743), ('del', 0.025420539584349065), ('un', 0.023398573794346737), ('retrato', 0.022773320896097484)]"
8,7,465,7_fracture_hip_stem_nail,"[('fracture', 0.03254792432991282), ('hip', 0.024678180168155612), ('stem', 0.02228273742302164), ('nail', 0.020045712274683665), ('cemented', 0.01932178095306291), ('screw', 0.01776381581598634), ('bone', 0.016482505050873515), ('femur', 0.015726523506395598), ('cement', 0.015128361592590981), ('cable', 0.014120559784313423)]"
9,8,422,8_wa_trap_knew_excellence,"[('wa', 0.0386236909844667), ('trap', 0.016596819588699886), ('knew', 0.011700803837694588), ('excellence', 0.010831500074732062), ('going', 0.006790321379928598), ('referring', 0.00658296878513389), ('worried', 0.006401703887175216), ('shocked', 0.005947115716795002), ('express', 0.005698382494296755), ('lie', 0.005678160026781018)]"
