,Topic,Count,Name,details
0,-1,84614,-1_nurse_patient_wa_health,[]
1,0,3189,0_nan_ut_roosevelt_rehab,"[('nan', 0.29653043962116293), ('ut', 0.02260362073491749), ('roosevelt', 0.022316191735072065), ('rehab', 0.017027364758268767), ('nandos', 0.007681603391961663), ('full', 0.003339787400138454), ('night', 0.002345462440904223), ('nandy', 0.0019109044259605797), ('whatsapping', 0.0019109044259605797), ('doggo', 0.0014300745075260168)]"
2,1,1525,1_left_right_jew_lefty,"[('left', 0.19190224449643123), ('right', 0.11365860463073094), ('jew', 0.00330999148098361), ('lefty', 0.0030810848956588322), ('wright', 0.0028217320726292828), ('lefthanded', 0.0022822670869135225), ('ghengis', 0.002058514690280094), ('freestyle', 0.0019277426873691216), ('side', 0.001853953977625718), ('infiltrate', 0.001835038655576011)]"
3,2,1502,2_arsed_promised_hat_eating,"[('arsed', 0.07080166869422004), ('promised', 0.06938053881128037), ('hat', 0.06687676113840384), ('eating', 0.0629574686009238), ('finding', 0.059194578627452483), ('probably', 0.05344435566830745), ('tweet', 0.04764278196708409), ('cant', 0.028489830931182538), ('tulsi', 0.0004723468885484341), ('dems', 0.0003578642341062879)]"
4,3,1501,3_calculated_kindle_mine_book,"[('calculated', 0.07137197655784526), ('kindle', 0.07073100954681423), ('mine', 0.05347781685228882), ('book', 0.0493783230369687), ('th', 0.04321209872134296), ('every', 0.03541436821212537), ('ive', 0.025772065318417487), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
5,4,1501,4_wayhay_copy_email_post,"[('wayhay', 0.11483133837158686), ('copy', 0.1020508063734066), ('email', 0.0848057030841226), ('post', 0.07362133563263681), ('say', 0.03270344223293406), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
6,5,1368,5_amp_celebration_fabulous_itamp,"[('amp', 0.010472573371008138), ('celebration', 0.0021703908957646178), ('fabulous', 0.0021095871004744825), ('itamp', 0.0015851545540579738), ('ty', 0.0014747387571756468), ('ampm', 0.001368633502092597), ('sharing', 0.001355971077143543), ('hard', 0.0013559257477111322), ('pleased', 0.0012780924401151448), ('able', 0.00127575522366022)]"
7,6,1244,6_vaccine_vaccination_vaccinated_booster,"[('vaccine', 0.035626487788550903), ('vaccination', 0.021303740672660724), ('vaccinated', 0.01956153502067223), ('booster', 0.01349445956513581), ('flu', 0.009974841506728145), ('dose', 0.00889323218672148), ('jab', 0.007581843038075384), ('covid', 0.006043072640308633), ('immunity', 0.005886547413741981), ('immunization', 0.00474841432887426)]"
8,7,1140,7_rover_roaring_springhill_jolly,"[('rover', 0.5618540195850272), ('roaring', 0.008390951633164207), ('springhill', 0.0050530653431707685), ('jolly', 0.0032623178136270163), ('trolley', 0.003021008513026592), ('resident', 0.0019982321720802445), ('land', 0.001895821424439813), ('developed', 0.0016397207850510184), ('island', 0.0015879943207244738), ('company', 0.001113227406597641)]"
9,8,1138,8_coming_yes_please_say,"[('coming', 0.09679277063991498), ('yes', 0.0573411199514279), ('please', 0.05609879923995525), ('say', 0.040879302791167575), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
10,9,1132,9_beach_flyball_weekly_another,"[('beach', 0.05200110466010902), ('flyball', 0.04775268702555619), ('weekly', 0.04521806096169961), ('another', 0.03830140837893762), ('evening', 0.035035358313935026), ('walk', 0.031842879108653334), ('social', 0.026886836059156184), ('team', 0.019396785421675014), ('week', 0.01599249851484993), ('time', 0.008845021107258837)]"
11,10,1093,10_leo_ob_hazleton_may,"[('leo', 0.09916427032411028), ('ob', 0.008375589310095905), ('hazleton', 0.008245139859635592), ('may', 0.007959702119527663), ('relationship', 0.006617165888480386), ('today', 0.005594074818835183), ('pa', 0.0055009236627033085), ('might', 0.005142261847056487), ('could', 0.004744734572528825), ('creative', 0.004678005086808738)]"
12,11,982,11_thank_theyre_well_post,"[('thank', 0.16302143612714143), ('theyre', 0.0008131466052806324), ('well', 0.0007074567911995583), ('post', 0.0003718249274375596), ('thanks', 0.00024237127875096276), ('im', 0.00014425344277467457), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
13,12,936,12_twitter_tweet_retweet_tweeting,"[('twitter', 0.03871242383786261), ('tweet', 0.024794685617875303), ('retweet', 0.014271698356208893), ('tweeting', 0.010968262554262047), ('retweeted', 0.007940557334079884), ('tweeter', 0.006394648379269211), ('retweeting', 0.005648887806511955), ('account', 0.004094471740184494), ('screenshot', 0.003901725894603216), ('reply', 0.003840874439381586)]"
14,13,934,13_di_che_il_non,"[('di', 0.044840372127943263), ('che', 0.04225103125884821), ('il', 0.030282563271564228), ('non', 0.027456604672544967), ('un', 0.025902422744573647), ('una', 0.024037143641481785), ('per', 0.021170817139745404), ('con', 0.020490508794753226), ('la', 0.019695650195800593), ('sono', 0.01925260157630573)]"
15,14,817,14_book_review_novel_reading,"[('book', 0.0161838044403462), ('review', 0.014729387492742602), ('novel', 0.009771234045251697), ('reading', 0.009560490684764049), ('library', 0.009405677500595237), ('author', 0.007699100797007844), ('bookshop', 0.006755199519818118), ('via', 0.006214525165186272), ('read', 0.005757359952119376), ('horror', 0.00537951853765937)]"
16,15,817,15_food_meal_served_caterer,"[('food', 0.024273457791551406), ('meal', 0.018513541395068573), ('served', 0.017071602165410968), ('caterer', 0.01697097212745622), ('school', 0.013735126958028157), ('healthy', 0.010545976038588332), ('bronze', 0.010265033476364706), ('catering', 0.009911083556695515), ('sustainable', 0.009322372720472238), ('renewed', 0.00894685807310242)]"
17,16,728,16_tory_labour_party_mp,"[('tory', 0.05841052254189226), ('labour', 0.03269907383686867), ('party', 0.014110745800517192), ('mp', 0.011793739636889343), ('voter', 0.009018279666647512), ('vote', 0.008563411832569907), ('voted', 0.006273467225039019), ('lie', 0.005496415872220847), ('opposition', 0.005450583161180268), ('election', 0.00506471712530715)]"
18,17,607,17_birthday_happy_belated_happiest,"[('birthday', 0.0866634803666198), ('happy', 0.031159696123593504), ('belated', 0.014868826167034792), ('happiest', 0.008453433224508283), ('bday', 0.006305031610771721), ('xx', 0.0061599426729454535), ('xxx', 0.006031579787775435), ('hope', 0.004969000804768547), ('wishing', 0.004895242327019178), ('lovely', 0.004576184899867537)]"
19,18,606,18_strike_striker_gmb_picket,"[('strike', 0.04583171668283988), ('striker', 0.030328579939358724), ('gmb', 0.02888323831783951), ('picket', 0.027344571484544108), ('mitie', 0.024629432840706483), ('union', 0.023593023116356297), ('solidarity', 0.023472186181509456), ('striking', 0.018922906092884096), ('ballot', 0.01858611723812773), ('protest', 0.0143425272965515)]"
20,19,600,19_neonatal_unit_baby_donation,"[('neonatal', 0.05100168045347358), ('unit', 0.021798501409887743), ('baby', 0.019197997171905498), ('donation', 0.01104708054444733), ('george', 0.01023206477051067), ('fund', 0.009983185858482334), ('nnu', 0.009753542123018316), ('graduate', 0.009511424970019647), ('maquet', 0.009043807611074615), ('charity', 0.00897895640985833)]"
21,20,579,20_scorpio_may_might_could,"[('scorpio', 0.15377849673899935), ('may', 0.014078222103211519), ('might', 0.011727389992309413), ('could', 0.010312774872383312), ('astrology', 0.008721143004275308), ('relationship', 0.007137201066577506), ('energy', 0.006331845318649545), ('today', 0.006012609613675041), ('toda', 0.005798586780516075), ('li', 0.005529271506016008)]"
